Rank,Peak,All_time_peak,Actual_gross,Adjusted_gross_in_2022_dollars_,Artist,Tour_title,Shows,Average_gross,Year_started,Year_ended
1,1.0,2.0,780000000,780000000.0,Taylor Swift,The Eras Tour †,56,13928571,2023,2024
2,1.0,7.0,579800000,579800000.0,Beyoncé,Renaissance World Tour,56,10353571,2023,2023
3,1.0,2.0,411000000,560622615.0,Madonna,Sticky & Sweet Tour ‡[4][a],85,4835294,2008,2009
4,2.0,10.0,397300000,454751555.0,Pink,Beautiful Trauma World Tour,156,2546795,2018,2019
5,2.0,0.0,345675146,402844849.0,Taylor Swift,Reputation Stadium Tour,53,6522173,2018,2018
6,2.0,10.0,305158363,388978496.0,Madonna,The MDNA Tour,88,3467709,2012,2012
7,2.0,0.0,280000000,381932682.0,Celine Dion,Taking Chances World Tour,131,2137405,2008,2009
7,0.0,0.0,257600000,257600000.0,Pink,Summer Carnival †,41,6282927,2023,2024
9,0.0,0.0,256084556,312258401.0,Beyoncé,The Formation World Tour,49,5226215,2016,2016
10,0.0,0.0,250400000,309141878.0,Taylor Swift,The 1989 World Tour,85,2945882,2015,2015
11,0.0,0.0,229100000,283202896.0,Beyoncé,The Mrs. Carter Show World Tour,132,1735606,2013,2014
12,0.0,14.0,227400000,295301479.0,Lady Gaga,The Monster Ball Tour *,203,1118227,2009,2011
13,0.0,0.0,204000000,251856802.0,Katy Perry,Prismatic World Tour,151,1350993,2014,2015
14,1.0,0.0,200000000,299676265.0,Cher,Living Proof: The Farewell Tour ‡[21][a],325,615385,2002,2005
15,2.0,0.0,194000000,281617035.0,Madonna,Confessions Tour,60,3233333,2006,2006
16,0.0,0.0,184000000,227452347.0,Pink,The Truth About Love Tour,142,1295775,2013,2014
17,0.0,0.0,170000000,213568571.0,Lady Gaga,Born This Way Ball,98,1734694,2012,2013
18,0.0,0.0,169800000,207046755.0,Madonna,Rebel Heart Tour,82,2070732,2015,2016
19,0.0,0.0,167700000,204486106.0,Adele,Adele Live 2016,121,1385950,2016,2017
20,0.0,0.0,150000000,185423109.0,Taylor Swift,The Red Tour,86,1744186,2013,2014
